,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
1645497,360470236003000,360470760002002,1,1,0,0,1,0,0,0,0,1,20170919,40.6198102,-73.954747,"Kings County, NY",40.6335207,-73.9918901,"Kings County, NY","LINESTRING(-73.954747 40.6198102, -73.9918901 40.6335207)"
4089112,360610109001005,360810551001002,2,0,1,1,0,0,2,0,0,2,20170919,40.7012189,-73.9013594,"Queens County, NY",40.7519232,-73.9917987,"New York County, NY","LINESTRING(-73.9013594 40.7012189, -73.9917987 40.7519232)"
5461622,360810212002000,360810238003000,1,0,1,0,1,0,0,0,0,1,20170919,40.704991,-73.806602,"Queens County, NY",40.7020017,-73.8123091,"Queens County, NY","LINESTRING(-73.806602 40.704991, -73.8123091 40.7020017)"
4060794,360610109001000,360470395003001,1,0,1,0,1,0,0,0,0,1,20170919,40.6945723,-73.9258638,"Kings County, NY",40.7522799,-73.9867813,"New York County, NY","LINESTRING(-73.9258638 40.6945723, -73.9867813 40.7522799)"
3303846,360610041005004,360470544003002,1,0,1,0,0,1,0,0,0,1,20170919,40.6143771,-73.9586122,"Kings County, NY",40.7178075,-73.998636,"New York County, NY","LINESTRING(-73.9586122 40.6143771, -73.998636 40.7178075)"
3060767,360610013001008,360610054002000,3,3,0,0,0,0,3,0,0,3,20170919,40.7376881,-73.9944967,"New York County, NY",40.7109662,-74.0099505,"New York County, NY","LINESTRING(-73.9944967 40.7376881, -74.0099505 40.7109662)"
3652242,360610082001002,360470896002002,1,0,1,0,0,1,0,0,0,1,20170919,40.6564738,-73.9117518,"Kings County, NY",40.7521683,-73.9807952,"New York County, NY","LINESTRING(-73.9117518 40.6564738, -73.9807952 40.7521683)"
4071558,360610109001003,360050199004002,1,1,0,0,1,0,0,0,0,1,20170919,40.8365484,-73.9280507,"Bronx County, NY",40.7531852,-73.9908863,"New York County, NY","LINESTRING(-73.9280507 40.8365484, -73.9908863 40.7531852)"
5437318,360810179002009,360610291007000,1,1,0,0,1,0,0,0,0,1,20170919,40.8642575,-73.922509,"New York County, NY",40.7446146,-73.9312235,"Queens County, NY","LINESTRING(-73.922509 40.8642575, -73.9312235 40.7446146)"
3315972,360610043003001,360470279002001,1,0,1,0,0,0,1,0,0,1,20170919,40.6899572,-73.9408793,"Kings County, NY",40.7246848,-73.9968328,"New York County, NY","LINESTRING(-73.9408793 40.6899572, -73.9968328 40.7246848)"
1691016,360470325003000,360470868001003,1,0,1,0,0,1,0,0,0,1,20170919,40.6559392,-73.9313369,"Kings County, NY",40.6664283,-73.9580528,"Kings County, NY","LINESTRING(-73.9313369 40.6559392, -73.9580528 40.6664283)"
3527011,360610070001001,360050244002001,1,0,1,0,0,1,0,0,0,1,20170919,40.8465277,-73.8577865,"Bronx County, NY",40.7442669,-73.977696,"New York County, NY","LINESTRING(-73.8577865 40.8465277, -73.977696 40.7442669)"
4172382,360610113001004,360050215025000,3,0,2,1,2,1,0,0,0,3,20170919,40.8471323,-73.9192915,"Bronx County, NY",40.7550407,-73.9895338,"New York County, NY","LINESTRING(-73.9192915 40.8471323, -73.9895338 40.7550407)"
5597131,360810511002006,360050205014000,1,0,1,0,1,0,0,0,0,1,20170919,40.8490793,-73.9203521,"Bronx County, NY",40.7263399,-73.8959462,"Queens County, NY","LINESTRING(-73.9203521 40.8490793, -73.8959462 40.7263399)"
3023042,360610009001002,360610232001001,1,0,1,0,0,0,1,0,0,1,20170919,40.8207028,-73.9378982,"New York County, NY",40.7058535,-74.0126823,"New York County, NY","LINESTRING(-73.9378982 40.8207028, -74.0126823 40.7058535)"
4435592,360610137006000,360610197021000,1,0,1,0,0,0,1,0,0,1,20170919,40.803109,-73.9572825,"New York County, NY",40.763934,-73.9793335,"New York County, NY","LINESTRING(-73.9572825 40.803109, -73.9793335 40.763934)"
3566048,360610074003004,360050200003003,1,0,1,0,1,0,0,0,0,1,20170919,40.8409975,-73.8470201,"Bronx County, NY",40.7439765,-73.9846612,"New York County, NY","LINESTRING(-73.8470201 40.8409975, -73.9846612 40.7439765)"
3266246,360610037002005,360050295004002,1,0,1,0,1,0,0,0,0,1,20170919,40.8801796,-73.9117039,"Bronx County, NY",40.7274192,-74.0043915,"New York County, NY","LINESTRING(-73.9117039 40.8801796, -74.0043915 40.7274192)"
5565828,360810446021003,360810592001004,1,0,1,0,0,0,1,0,0,1,20170919,40.7028193,-73.7333097,"Queens County, NY",40.7086624,-73.801528,"Queens County, NY","LINESTRING(-73.7333097 40.7028193, -73.801528 40.7086624)"
3929596,360610100001003,360811467001009,1,0,1,0,0,0,1,0,0,1,20170919,40.7605421,-73.7709685,"Queens County, NY",40.7584035,-73.9720314,"New York County, NY","LINESTRING(-73.7709685 40.7605421, -73.9720314 40.7584035)"
3009705,360610008001000,360610206001002,1,0,1,0,1,0,0,0,0,1,20170919,40.8089306,-73.939371,"New York County, NY",40.7138514,-73.9960832,"New York County, NY","LINESTRING(-73.939371 40.8089306, -73.9960832 40.7138514)"
4229194,360610116001004,360610184001003,2,0,1,1,0,0,2,0,0,2,20170919,40.8006377,-73.9433192,"New York County, NY",40.7644539,-73.956971,"New York County, NY","LINESTRING(-73.9433192 40.8006377, -73.956971 40.7644539)"
1725564,360470398001011,360470882004000,1,0,1,0,0,1,0,1,0,0,20170919,40.6580609,-73.9226645,"Kings County, NY",40.594666,-73.9744387,"Kings County, NY","LINESTRING(-73.9226645 40.6580609, -73.9744387 40.594666)"
1887607,360470638002000,360470576002003,1,0,1,0,0,1,0,0,0,1,20170919,40.5988083,-73.9478892,"Kings County, NY",40.6077033,-73.9410213,"Kings County, NY","LINESTRING(-73.9478892 40.5988083, -73.9410213 40.6077033)"
3104049,360610015021009,360610120003002,1,1,0,0,0,1,0,0,0,1,20170919,40.7653853,-73.966938,"New York County, NY",40.7092721,-74.0098257,"New York County, NY","LINESTRING(-73.966938 40.7653853, -74.0098257 40.7092721)"
3742018,360610090001000,360610059003000,1,0,1,0,0,1,0,0,0,1,20170919,40.7306355,-73.9940407,"New York County, NY",40.7525336,-73.9716928,"New York County, NY","LINESTRING(-73.9940407 40.7306355, -73.9716928 40.7525336)"
1655877,360470249001000,360610088003000,1,0,0,1,0,0,1,0,0,1,20170919,40.7484777,-73.9720425,"New York County, NY",40.6852903,-73.9488773,"Kings County, NY","LINESTRING(-73.9720425 40.7484777, -73.9488773 40.6852903)"
4199413,360610114011001,360470495001001,1,0,1,0,0,1,0,0,0,1,20170919,40.7129374,-73.9418074,"Kings County, NY",40.7648143,-73.9694642,"New York County, NY","LINESTRING(-73.9418074 40.7129374, -73.9694642 40.7648143)"
4040254,360610104001006,360610114021002,2,0,1,1,0,0,2,0,0,2,20170919,40.7628292,-73.9666993,"New York County, NY",40.7591675,-73.9796681,"New York County, NY","LINESTRING(-73.9666993 40.7628292, -73.9796681 40.7591675)"
3368435,360610052001004,360470493005000,1,0,1,0,0,1,0,0,1,0,20170919,40.7070456,-73.9423017,"Kings County, NY",40.7359971,-73.9902768,"New York County, NY","LINESTRING(-73.9423017 40.7070456, -73.9902768 40.7359971)"
3061019,360610013001008,360610183001000,1,1,0,0,0,0,1,0,0,1,20170919,40.7965335,-73.9731639,"New York County, NY",40.7109662,-74.0099505,"New York County, NY","LINESTRING(-73.9731639 40.7965335, -74.0099505 40.7109662)"
3443782,360610058001003,360470495003002,1,1,0,0,0,0,1,0,0,1,20170919,40.7119294,-73.9448139,"Kings County, NY",40.7439789,-73.9884466,"New York County, NY","LINESTRING(-73.9448139 40.7119294, -73.9884466 40.7439789)"
1803547,360470519003006,360470510011000,1,0,1,0,1,0,0,0,0,1,20170919,40.6459842,-73.9608422,"Kings County, NY",40.7133551,-73.9573726,"Kings County, NY","LINESTRING(-73.9608422 40.6459842, -73.9573726 40.7133551)"
5319744,360810007001004,360470800003000,1,0,1,0,0,1,0,0,1,0,20170919,40.6603823,-73.9520537,"Kings County, NY",40.7451637,-73.9495425,"Queens County, NY","LINESTRING(-73.9520537 40.6603823, -73.9495425 40.7451637)"
364324,360050277002002,360050274014006,1,0,0,1,0,0,1,1,0,0,20170919,40.8363649,-73.8233488,"Bronx County, NY",40.8787409,-73.9034508,"Bronx County, NY","LINESTRING(-73.8233488 40.8363649, -73.9034508 40.8787409)"
1818069,360470533002001,360810483002002,1,1,0,0,1,0,0,1,0,0,20170919,40.7422446,-73.8960872,"Queens County, NY",40.7016682,-73.956901,"Kings County, NY","LINESTRING(-73.8960872 40.7422446, -73.956901 40.7016682)"
1546376,360470114001004,360470738001001,1,1,0,0,1,0,0,0,0,1,20170919,40.62387,-73.9400301,"Kings County, NY",40.6384403,-73.9985075,"Kings County, NY","LINESTRING(-73.9400301 40.62387, -73.9985075 40.6384403)"
3916568,360610099001031,360470041001002,1,0,1,0,0,0,1,0,0,1,20170919,40.6876689,-73.9856998,"Kings County, NY",40.7515782,-74.0065489,"New York County, NY","LINESTRING(-73.9856998 40.6876689, -74.0065489 40.7515782)"
4662996,360610255001004,360610229004001,1,1,0,0,0,0,1,0,0,1,20170919,40.8248894,-73.9498236,"New York County, NY",40.842139,-73.9446813,"New York County, NY","LINESTRING(-73.9498236 40.8248894, -73.9446813 40.842139)"
3123473,360610021001004,360050397001002,1,0,1,0,0,0,1,0,0,1,20170919,40.8627841,-73.887292,"Bronx County, NY",40.7137076,-74.0077971,"New York County, NY","LINESTRING(-73.887292 40.8627841, -74.0077971 40.7137076)"
400280,360050332013001,360050265001001,1,0,0,1,0,1,0,0,0,1,20170919,40.8666858,-73.8986387,"Bronx County, NY",40.8601103,-73.8690053,"Bronx County, NY","LINESTRING(-73.8986387 40.8666858, -73.8690053 40.8601103)"
274481,360050093003002,360810065011001,1,1,0,0,0,0,1,0,1,0,20170919,40.7663761,-73.9179415,"Queens County, NY",40.8144247,-73.8904316,"Bronx County, NY","LINESTRING(-73.9179415 40.7663761, -73.8904316 40.8144247)"
439896,360050409001006,360810650001001,1,0,1,0,1,0,0,0,0,1,20170919,40.6688775,-73.7401504,"Queens County, NY",40.8729674,-73.8944888,"Bronx County, NY","LINESTRING(-73.7401504 40.6688775, -73.8944888 40.8729674)"
232352,360050043002004,360050062003000,1,1,0,0,1,0,0,0,0,1,20170919,40.8353159,-73.8761852,"Bronx County, NY",40.8144089,-73.9168636,"Bronx County, NY","LINESTRING(-73.8761852 40.8353159, -73.9168636 40.8144089)"
3115189,360610016001001,360470505003001,1,0,1,0,0,1,0,0,1,0,20170919,40.706384,-73.9455956,"Kings County, NY",40.7177099,-73.9946242,"New York County, NY","LINESTRING(-73.9455956 40.706384, -73.9946242 40.7177099)"
3649366,360610082001001,360810108002001,2,0,2,0,0,2,0,0,0,2,20170919,40.6878877,-73.8292593,"Queens County, NY",40.7528098,-73.98033,"New York County, NY","LINESTRING(-73.8292593 40.6878877, -73.98033 40.7528098)"
5623824,360810613011001,360810661001000,3,0,3,0,0,2,1,0,0,3,20170919,40.7185249,-73.8790018,"Queens County, NY",40.7107651,-73.8912074,"Queens County, NY","LINESTRING(-73.8790018 40.7185249, -73.8912074 40.7107651)"
3938690,360610100002001,360610027001003,1,0,1,0,0,0,1,0,0,1,20170919,40.7131022,-73.9976666,"New York County, NY",40.7589768,-73.9695081,"New York County, NY","LINESTRING(-73.9976666 40.7131022, -73.9695081 40.7589768)"
