,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
2752211,360594127003028,360594052002016,1,0,1,0,0,0,1,0,0,1,20170919,40.6991808,-73.6969875,"Nassau County, NY",40.6630194,-73.6254323,"Nassau County, NY","LINESTRING(-73.6969875 40.6991808, -73.6254323 40.6630194)"
1890541,360470650002003,360470578001001,1,1,0,0,1,0,0,0,0,1,20170919,40.6005656,-73.9511038,"Kings County, NY",40.6212246,-73.9347619,"Kings County, NY","LINESTRING(-73.9511038 40.6005656, -73.9347619 40.6212246)"
1611318,360470194001003,360471026001001,2,0,1,1,2,0,0,0,0,2,20170919,40.6304863,-73.8970576,"Kings County, NY",40.6252022,-73.9978953,"Kings County, NY","LINESTRING(-73.8970576 40.6304863, -73.9978953 40.6252022)"
3730218,360610088001002,360610044003002,1,0,0,1,0,0,1,0,0,1,20170919,40.7316577,-73.9761107,"New York County, NY",40.7499612,-73.9735697,"New York County, NY","LINESTRING(-73.9761107 40.7316577, -73.9735697 40.7499612)"
2911230,360595197021024,360595196013011,1,0,0,1,0,0,1,0,0,1,20170919,40.7753775,-73.5009943,"Nassau County, NY",40.7832029,-73.4491865,"Nassau County, NY","LINESTRING(-73.5009943 40.7753775, -73.4491865 40.7832029)"
2800443,360594154014021,360594143011015,1,0,0,1,1,0,0,0,0,1,20170919,40.6557352,-73.5914059,"Nassau County, NY",40.6597011,-73.5380636,"Nassau County, NY","LINESTRING(-73.5914059 40.6557352, -73.5380636 40.6597011)"
359047,360050263005000,360810499003005,1,1,0,0,0,0,1,0,0,1,20170919,40.7309158,-73.8809056,"Queens County, NY",40.8670403,-73.9027983,"Bronx County, NY","LINESTRING(-73.8809056 40.7309158, -73.9027983 40.8670403)"
3368447,360610052001004,360470512001001,1,1,0,0,0,1,0,0,1,0,20170919,40.6480939,-73.9641585,"Kings County, NY",40.7359971,-73.9902768,"New York County, NY","LINESTRING(-73.9641585 40.6480939, -73.9902768 40.7359971)"
4575194,360610183003000,360050023001005,1,1,0,0,1,0,0,1,0,0,20170919,40.8090925,-73.9277808,"Bronx County, NY",40.7947152,-73.9749907,"New York County, NY","LINESTRING(-73.9277808 40.8090925, -73.9749907 40.7947152)"
4345864,360610127004000,360470646001003,1,0,1,0,0,0,1,1,0,0,20170919,40.6152194,-73.9380801,"Kings County, NY",40.7637716,-73.9905953,"New York County, NY","LINESTRING(-73.9380801 40.6152194, -73.9905953 40.7637716)"
2504423,360593032021012,361190009002016,1,0,1,0,0,1,0,0,0,1,20170919,40.969656,-73.876551,"Westchester County, NY",40.7425168,-73.6601882,"Nassau County, NY","LINESTRING(-73.876551 40.969656, -73.6601882 40.7425168)"
5428753,360810172001002,360470738001001,1,0,1,0,1,0,0,0,1,0,20170919,40.62387,-73.9400301,"Kings County, NY",40.6817543,-73.8134293,"Queens County, NY","LINESTRING(-73.9400301 40.62387, -73.8134293 40.6817543)"
3095505,360610015021002,360050042003007,1,0,1,0,1,0,0,0,0,1,20170919,40.8245735,-73.8618051,"Bronx County, NY",40.7096739,-74.0077502,"New York County, NY","LINESTRING(-73.8618051 40.8245735, -74.0077502 40.7096739)"
3038293,360610009001017,360610006005001,1,1,0,0,0,0,1,0,0,1,20170919,40.7120858,-73.9883469,"New York County, NY",40.7028854,-74.009835,"New York County, NY","LINESTRING(-73.9883469 40.7120858, -74.009835 40.7028854)"
3543993,360610072006000,360610275002000,1,0,1,0,0,0,1,0,0,1,20170919,40.8530879,-73.9402249,"New York County, NY",40.74573,-73.9791652,"New York County, NY","LINESTRING(-73.9402249 40.8530879, -73.9791652 40.74573)"
